n,date,value,EAvalue
1,1569145137000,3488.6943359375,50.529296875
2,1569231537000,3527.572265625,38.8779296875
3,1569317937000,3662.2309570312,134.65869140619998
4,1569404337000,3792.5541992188,130.32324218760004
5,1569490737000,3914.3449707031,121.79077148429997
6,1569577137000,4035.6062011719,121.26123046880002
7,1569663537000,4159.1748046875,123.56860351559999
8,1569749937000,4193.6259765625,34.451171875
9,1569836337000,4201.62109375,7.9951171875
10,1569922737000,4346.0400390625,144.4189453125
11,1570009137000,4491.1782226562,145.13818359369998
12,1570095537000,4617.1337890625,125.95556640630002
13,1570181937000,4765.185546875,148.0517578125
14,1570268337000,4878.869140625,113.68359375
15,1570354737000,4918.423828125,39.5546875
16,1570441137000,4919.9594726562,1.5356445311999778
17,1570527537000,5056.787109375,136.82763671880002
18,1570613937000,5193.576171875,136.7890625
19,1570700337000,5330.3569335938,136.78076171880002
20,1570786737000,5477.1796875,146.82275390619998
21,1570873137000,5597.4345703125,120.2548828125
22,1570959537000,5616.6611328125,19.2265625
23,1571045937000,5622.4467773438,5.785644531300022
24,1571132337000,5758.322265625,135.87548828119998
25,1571218737000,5898.0498046875,139.7275390625
26,1571305137000,6042.44921875,144.3994140625
27,1571391537000,6192.8203125,150.37109375
28,1571477937000,6281.7783203125,88.9580078125
29,1571564337000,6319.3623046875,37.583984375
30,1571650737000,6340.1157226562,20.753417968699978
31,1571737137000,6440.8447265625,100.72900390630002
32,1571823537000,6547.763671875,106.9189453125
33,1571909937000,6653.3583984375,105.5947265625
34,1571996337000,6753.7954101562,100.43701171869998
35,1572082737000,6841.1875,87.39208984380002
36,1572169137000,6855.9990234375,14.8115234375
37,1572255537000,6856.5717773438,0.5727539063000222
38,1572428337000,6958.48828125,101.91650390619998
39,1572514737000,7053.5063476562,95.01806640619998
40,1572601137000,7183.3447265625,129.83837890630002
41,1572687537000,7300.212890625,116.8681640625
42,1572773937000,7355.5009765625,55.2880859375
43,1572860337000,7407.90234375,52.4013671875
44,1572946737000,7548.18359375,140.28125
45,1573033137000,7694.8647460938,146.68115234380002
46,1573119537000,7833.8208007812,138.95605468739996
47,1573205937000,7971.4365234375,137.61572265630002
48,1573292337000,8100.05078125,128.6142578125
49,1573378737000,8169.0419921875,68.9912109375
50,1573465137000,8221.8486328125,52.806640625
51,1573551537000,8349.3056640625,127.45703125
52,1573637937000,8484.47265625,135.1669921875
53,1573724337000,8616.4736328125,132.0009765625
54,1573810737000,8750.16796875,133.6943359375
55,1573897137000,8800.390625,50.22265625
56,1573983537000,8868.546875,68.15625
57,1574069937000,8917.4072265625,48.8603515625
58,1574156337000,9057.0751953125,139.66796875
59,1574242737000,9178.80859375,121.7333984375
60,1574329137000,9323.626953125,144.818359375
61,1574415537000,9448.814453125,125.1875
62,1574501937000,9570.2900390625,121.4755859375
63,1574588337000,9616.96484375,46.6748046875
64,1574674737000,9653.5673828125,36.6025390625
65,1574761137000,9714.748046875,61.1806640625
66,1574847537000,9841.982421875,127.234375
67,1574933937000,9960.9443359375,118.9619140625
68,1575020337000,10090.525390625,129.5810546875
69,1575106737000,10188.770507812,98.24511718699978
70,1575193137000,10265.1796875,76.40917968800022
71,1575279537000,10316.197265625,51.017578125
72,1575365937000,10451.504882812,135.30761718699978
73,1575452337000,10550.440429688,98.93554687600044
74,1575538737000,10675.602539062,125.16210937399956
75,1575625137000,10792.315429688,116.71289062600044
76,1575711537000,10909.091796875,116.77636718699978
77,1575797937000,10966.685546875,57.59375
78,1575884337000,11017.935546875,51.25
79,1575970737000,11125.6015625,107.666015625
80,1576057137000,11250.009765625,124.408203125
81,1576143537000,11351.36328125,101.353515625
82,1576229937000,11460.329101562,108.96582031199978
83,1576316337000,11560.6171875,100.28808593800022
84,1576402737000,11622.625,62.0078125
85,1576489137000,11672.1875,49.5625
86,1576575537000,11758.442382812,86.25488281199978
87,1576661937000,11836.364257812,77.921875
88,1576748337000,11928.61328125,92.24902343800022
89,1576834737000,12007.71875,79.10546875
90,1576921137000,12089.275390625,81.556640625
91,1577007537000,12130.693359375,41.41796875
92,1577093937000,12174.28125,43.587890625
93,1577180337000,12216.551757812,42.27050781199978
94,1577266737000,12257.189453125,40.63769531300022
95,1577353137000,12295.4765625,38.287109375
96,1577439537000,12343.79296875,48.31640625
97,1577525937000,12396.88671875,53.09375
98,1577612337000,12441.961914062,45.07519531199978
99,1577698737000,12481.138671875,39.17675781300022
100,1577785137000,12534.5859375,53.447265625
101,1577871537000,12575.528320312,40.94238281199978
102,1577957937000,12614.563476562,39.03515625
103,1578044337000,12669.306640625,54.74316406300022
104,1578130737000,12734.033203125,64.7265625
105,1578217137000,12774.764648438,40.73144531300022
106,1578303537000,12813.295898438,38.53125
107,1578389937000,12871.021484375,57.72558593699978
108,1578476337000,12940.205078125,69.18359375
109,1578562737000,13000.250976562,60.04589843699978
110,1578649137000,13076.52734375,76.27636718800022
111,1578735537000,13138.397460938,61.87011718800022
112,1578821937000,13192.1953125,53.79785156199978
113,1578908337000,13238.8125,46.6171875
114,1578994737000,13306.306640625,67.494140625
115,1579081137000,13381.365234375,75.05859375
116,1579167537000,13451.40234375,70.037109375
117,1579253937000,13539.494140625,88.091796875
118,1579340337000,13605.943359375,66.44921875
119,1579426737000,13667.91015625,61.966796875
120,1579513137000,13720.63671875,52.7265625
121,1579599537000,13788.299804688,67.66308593800022
122,1579685937000,13873.165039062,84.86523437399956
123,1579772337000,13936.489257812,63.32421875
124,1579858737000,13998.33984375,61.85058593800022
125,1579945137000,14062.657226562,64.31738281199978
126,1580031537000,14122.90625,60.24902343800022
127,1580117937000,14160.213867188,37.30761718800022
128,1580204337000,14226.857421875,66.64355468699978
129,1580290737000,14297.680664062,70.82324218699978
130,1580377137000,14364.979492188,67.29882812600044
131,1580463537000,14453.19921875,88.21972656199978
132,1580549937000,14540.55859375,87.359375
133,1580636337000,14626.836914062,86.27832031199978
134,1580722737000,14703.8515625,77.01464843800022
135,1580809137000,14816.1875,112.3359375
136,1580895537000,14919.259765625,103.072265625
137,1580981937000,15022.72265625,103.462890625
138,1581068337000,15123.04296875,100.3203125
139,1581154737000,15215.591796875,92.548828125
140,1581241137000,15288.560546875,72.96875
141,1581327537000,15356.189453125,67.62890625
142,1581413937000,15457.990234375,101.80078125
143,1581500337000,15548.6015625,90.611328125
144,1581586737000,15634.858398438,86.25683593800022
145,1581673137000,15720.37890625,85.52050781199978
146,1581759537000,15816.241210938,95.86230468800022
147,1581845937000,15885.248046875,69.00683593699978
148,1581932337000,15950.29296875,65.044921875
149,1582105137000,16165.888671875,215.595703125
150,1582191537000,16272.767578125,106.87890625
151,1582277937000,16383.365234375,110.59765625
152,1582364337000,16480.06640625,96.701171875
153,1582450737000,16543.142578125,63.076171875
154,1582537137000,16604.427734375,61.28515625
155,1582623537000,16671.23828125,66.810546875
156,1582709937000,16739.330078125,68.091796875
157,1582796337000,16803.3203125,63.990234375
158,1582882737000,16892.8359375,89.515625
159,1582969137000,16987.75390625,94.91796875
160,1583055537000,17057.54296875,69.7890625
161,1583141937000,17119.2890625,61.74609375
162,1583228337000,17227.888671875,108.599609375
163,1583314737000,17349.662109375,121.7734375
164,1583401137000,17467.490234375,117.828125
165,1583487537000,17587.599609375,120.109375
166,1583573937000,17698.4375,110.837890625
167,1583660337000,17769.5234375,71.0859375
168,1583746737000,17832.884765625,63.361328125
169,1583833137000,17954.396484375,121.51171875
170,1583919537000,18085.56640625,131.169921875
171,1584005937000,18222.28125,136.71484375
172,1584092337000,18352.525390625,130.244140625
173,1584178737000,18488.716796875,136.19140625
174,1584265137000,18569.611328125,80.89453125
175,1584351537000,18636.935546875,67.32421875
176,1584437937000,18740.849609375,103.9140625
177,1584524337000,18817.650390625,76.80078125
178,1584610737000,18896.51953125,78.869140625
179,1584697137000,18978.693359375,82.173828125
180,1584783537000,19043.1953125,64.501953125
